MutationChance,CrossoverChance,TournamentSize,LearningRate,AvgFitness
0.2,0.6,2,0.25,7.90284375
0.2,0.6,2,0.5,9.066072217
0.2,0.6,2,0.75,9.00398439
0.2,0.6,3,0.25,7.95162224
0.2,0.6,3,0.5,9.491072198
0.2,0.6,3,0.75,9.524540508
0.2,0.6,4,0.25,5.083323462
0.2,0.6,4,0.5,1.604849412
0.2,0.6,4,0.75,4.41454275
0.2,0.7,2,0.25,7.881779063
0.2,0.7,2,0.5,7.757754918
0.2,0.7,2,0.75,7.124879921
0.2,0.7,3,0.25,7.82610945
0.2,0.7,3,0.5,5.087443628
0.2,0.7,3,0.75,5.335409864
0.2,0.7,4,0.25,3.02053398
0.2,0.7,4,0.5,3.595474217
0.2,0.7,4,0.75,7.510604672
0.2,0.8,2,0.25,9.521833926
0.2,0.8,2,0.5,9.61025117
0.2,0.8,2,0.75,9.384505693
0.2,0.8,3,0.25,7.143510293
0.2,0.8,3,0.5,6.802938799
0.2,0.8,3,0.75,7.160665686
0.2,0.8,4,0.25,3.131790611
0.2,0.8,4,0.5,4.806422574
0.2,0.8,4,0.75,7.019509877
0.25,0.6,2,0.25,9.023197628
0.25,0.6,2,0.5,7.690960268
0.25,0.6,2,0.75,9.588785382
0.25,0.6,3,0.25,6.048894592
0.25,0.6,3,0.5,8.448874932
0.25,0.6,3,0.75,4.846955129
0.25,0.6,4,0.25,3.099239241
0.25,0.6,4,0.5,5.49359594
0.25,0.6,4,0.75,5.929985038
0.25,0.7,2,0.25,8.532233202
0.25,0.7,2,0.5,9.540567207
0.25,0.7,2,0.75,7.548148082
0.25,0.7,3,0.25,6.486405376
0.25,0.7,3,0.5,5.458268516
0.25,0.7,3,0.75,9.395601653
0.25,0.7,4,0.25,6.328500122
0.25,0.7,4,0.5,6.898274267
0.25,0.7,4,0.75,6.172426995
0.25,0.8,2,0.25,9.703453891
0.25,0.8,2,0.5,9.862494573
0.25,0.8,2,0.75,7.44850708
0.25,0.8,3,0.25,8.695702901
0.25,0.8,3,0.5,5.583001408
0.25,0.8,3,0.75,7.887882289
0.25,0.8,4,0.25,5.17359487
0.25,0.8,4,0.5,4.731424198
0.25,0.8,4,0.75,3.729593966
0.3,0.6,2,0.25,8.877739343
0.3,0.6,2,0.5,9.724153209
0.3,0.6,2,0.75,9.726526071
0.3,0.6,3,0.25,8.496242687
0.3,0.6,3,0.5,5.39977722
0.3,0.6,3,0.75,7.331213387
0.3,0.6,4,0.25,4.540393115
0.3,0.6,4,0.5,6.416865482
0.3,0.6,4,0.75,6.524609873
0.3,0.7,2,0.25,8.624369748
0.3,0.7,2,0.5,9.47429802
0.3,0.7,2,0.75,9.346045911
0.3,0.7,3,0.25,6.607598975
0.3,0.7,3,0.5,7.053376228
0.3,0.7,3,0.75,7.117040155
0.3,0.7,4,0.25,6.355013251
0.3,0.7,4,0.5,9.022318177
0.3,0.7,4,0.75,6.820718639
0.3,0.8,2,0.25,9.747006211
0.3,0.8,2,0.5,9.516672853
0.3,0.8,2,0.75,5.292131891
0.3,0.8,3,0.25,4.062902217
0.3,0.8,3,0.5,7.146044223
0.3,0.8,3,0.75,6.735530243
0.3,0.8,4,0.25,3.893426637
0.3,0.8,4,0.5,3.356032791
0.3,0.8,4,0.75,6.281859793